ACALL page0;0x11;2
ACALL page1;0x31;2
ACALL page2;0x51;2
ACALL page3;0x71;2
ACALL page4;0x91;2
ACALL page5;0xB1;2
ACALL page6;0xD1;2
ACALL page7;0xF1;2
ADD A,#data;0x24;2
ADD A,iram addr;0x25;2
ADD A,@R0;0x26;1
ADD A,@R1;0x27;1
ADD A,R0;0x28;1
ADD A,R1;0x29;1
ADD A,R2;0x2A;1
ADD A,R3;0x2B;1
ADD A,R4;0x2C;1
ADD A,R5;0x2D;1
ADD A,R6;0x2E;1
ADD A,R7;0x2F;1
ADDC A,#data;0x34;2
ADDC A,iram addr;0x35;2
ADDC A,@R0;0x36;1
ADDC A,@R1;0x37;1
ADDC A,R0;0x38;1
ADDC A,R1;0x39;1
ADDC A,R2;0x3A;1
ADDC A,R3;0x3B;1
ADDC A,R4;0x3C;1
ADDC A,R5;0x3D;1
ADDC A,R6;0x3E;1
ADDC A,R7;0x3F;1
AJMP page0;0x01;2
AJMP page1;0x21;2
AJMP page2;0x41;2
AJMP page3;0x61;2
AJMP page4;0x81;2
AJMP page5;0xA1;2
AJMP page6;0xC1;2
AJMP page7;0xE1;2
ANL iram addr,A;0x52;2
ANL iram addr,#data;0x53;3
ANL A,#data;0x54;2
ANL A,iram addr;0x55;2
ANL A,@R0;0x56;1
ANL A,@R1;0x57;1
ANL A,R0;0x58;1
ANL A,R1;0x59;1
ANL A,R2;0x5A;1
ANL A,R3;0x5B;1
ANL A,R4;0x5C;1
ANL A,R5;0x5D;1
ANL A,R6;0x5E;1
ANL A,R7;0x5F;1
ANL C,bit addr;0x82;2
ANL C,bit addr;0xB0;2
CJNE A,#data,reladdr;0xB4;3
CJNE A,iram addr,reladdr;0xB5;3
CJNE @R0,#data,reladdr;0xB6;3
CJNE @R1,#data,reladdr;0xB7;3
CJNE R0,#data,reladdr;0xB8;3
CJNE R1,#data,reladdr;0xB9;3
CJNE R2,#data,reladdr;0xBA;3
CJNE R3,#data,reladdr;0xBB;3
CJNE R4,#data,reladdr;0xBC;3
CJNE R5,#data,reladdr;0xBD;3
CJNE R6,#data,reladdr;0xBE;3
CJNE R7,#data,reladdr;0xBF;3
CLR bit addr;0xC2;2
CLR C;0xC3;1
CLR A;0xE4;1
CPL A;0xF4;1
CPL C;0xB3;1
CPL bit addr;0xB2;2
DA;0xD4;1
DEC A;0x14;1
DEC iram addr;0x15;2
DEC @R0;0x16;1
DEC @R1;0x17;1
DEC R0;0x18;1
DEC R1;0x19;1
DEC R2;0x1A;1
DEC R3;0x1B;1
DEC R4;0x1C;1
DEC R5;0x1D;1
DEC R6;0x1E;1
DEC R7;0x1F;1
DIV AB;0x84;1
DJNZ iram addr,reladdr;0xD5;3
DJNZ R0,reladdr;0xD8;2
DJNZ R1,reladdr;0xD9;2
DJNZ R2,reladdr;0xDA;2
DJNZ R3,reladdr;0xDB;2
DJNZ R4,reladdr;0xDC;2
DJNZ R5,reladdr;0xDD;2
DJNZ R6,reladdr;0xDE;2
DJNZ R7,reladdr;0xDF;2
INC A;0x04;1
INC iram addr;0x05;2
INC @R0;0x06;1
INC @R1;0x07;1
INC R0;0x08;1
INC R1;0x09;1
INC R2;0x0A;1
INC R3;0x0B;1
INC R4;0x0C;1
INC R5;0x0D;1
INC R6;0x0E;1
INC R7;0x0F;1
INC DPTR;0xA3;1
JB bit addr,reladdr;0x20;3
JBC bit addr,reladdr;0x10;3
JC reladdr;0x40;2
JMP @A+DPTR;0x73;1
JNB bit addr,reladdr;0x30;3
JNC reladdr;0x50;2
JNZ reladdr;0x70;2
JZ reladdr;0x60;2
LCALL code addr;0x12;3
LJMP code addr;0x02;3
MOV @R0,#data;0x76;2
MOV @R1,#data;0x77;2
MOV @R0,A;0xF6;1
MOV @R1,A;0xF7;1
MOV @R0,iram addr;0xA6;2
MOV @R1,iram addr;0xA7;2
MOV A,#data;0x74;2
MOV A,@R0;0xE6;1
MOV A,@R1;0xE7;1
MOV A,R0;0xE8;1
MOV A,R1;0xE9;1
MOV A,R2;0xEA;1
MOV A,R3;0xEB;1
MOV A,R4;0xEC;1
MOV A,R5;0xED;1
MOV A,R6;0xEE;1
MOV A,R7;0xEF;1
MOV A,iram addr;0xE5;2
MOV C,bit addr;0xA2;2
MOV DPTR,#data16;0x90;3
MOV R0,#data;0x78;2
MOV R1,#data;0x79;2
MOV R2,#data;0x7A;2
MOV R3,#data;0x7B;2
MOV R4,#data;0x7C;2
MOV R5,#data;0x7D;2
MOV R6,#data;0x7E;2
MOV R7,#data;0x7F;2
MOV R0,A;0xF8;1
MOV R1,A;0xF9;1
MOV R2,A;0xFA;1
MOV R3,A;0xFB;1
MOV R4,A;0xFC;1
MOV R5,A;0xFD;1
MOV R6,A;0xFE;1
MOV R7,A;0xFF;1
MOV R0,iram addr;0xA8;2
MOV R1,iram addr;0xA9;2
MOV R2,iram addr;0xAA;2
MOV R3,iram addr;0xAB;2
MOV R4,iram addr;0xAC;2
MOV R5,iram addr;0xAD;2
MOV R6,iram addr;0xAE;2
MOV R7,iram addr;0xAF;2
MOV bit addr,C;0x92;2
MOV iram addr,#data;0x75;3
MOV iram addr,@R0;0x86;2
MOV iram addr,@R1;0x87;2
MOV iram addr,R0;0x88;2
MOV iram addr,R1;0x89;2
